,Countryno,country,year,CO2_transport_capita,GDP_per_capita,gas_cons_capita,vehicles_capita,urban_pop,pop_density
196,5,France,1972,1.2355806450280449,16002.8478320532,275.158750607227,305.3839875181766,71.86,96.38437375585774
197,5,France,1973,1.3450640347965306,17102.8895150803,296.2484283872487,317.3016286780898,72.256,97.22864640974787
198,5,France,1974,1.3240924623493115,17415.892641621,283.7873374835352,326.54378626082877,72.65,98.01000609972131
199,5,France,1975,1.3563909304103348,17344.9471075532,294.6527493936818,331.0836597945546,72.926,98.67868896169594
200,5,France,1976,1.4716164124233804,18082.8953602568,308.2755681709415,343.5716569858385,72.997,99.21729252729351
201,5,France,1977,1.4782114184299904,18668.6713724885,311.1281335319359,359.7766769964744,73.068,99.6518100101175
202,5,France,1978,1.5732466926034803,19549.7105489551,319.2684799066619,373.8959882286924,73.14,100.02827786969972
203,5,France,1979,1.5743082496644094,20205.7486868443,320.2997063867827,385.2022286032329,73.211,100.41324516131388
204,5,France,1980,1.59584475561375,20261.8559297476,316.70628362288085,392.880869454464,73.282,100.85481932771575
205,5,France,1981,1.6148012724266494,19534.897838329,321.8612599788251,390.70911584538817,73.352,101.36729088365604
206,5,France,1982,1.6167217762641235,19423.1645896623,320.3524166819459,400.6646627812934,73.425,101.93593831611166
207,5,France,1983,1.6220873443099801,19132.1318031733,320.48157401029965,427.69980124066313,73.5,102.54448596150966
208,5,France,1984,1.6401169526418133,18777.4917029712,320.3051931041659,430.57036446477883,73.575,103.16541567591852
209,5,France,1985,1.6269202454307299,18567.1202417391,312.81919180937433,445.45806708221727,73.65,103.77773272993575
210,5,France,1986,1.692935362884527,19363.0152222216,319.3062254303701,454.33215336523045,73.725,104.38041258953258
211,5,France,1987,1.7393034015071958,19787.7803202814,318.3214006879242,463.12263981793706,73.8,104.97872950475376
212,5,France,1988,1.8349997052098144,20811.60102117,321.60502045677805,473.4834573979017,73.875,105.56503508252887
213,5,France,1989,1.8711619798882952,21612.488256819,314.0915911247108,482.41265012987554,73.95,106.13080797565955
214,5,France,1990,1.9301753172385405,22161.6411816928,307.96517302188107,492.0841284216662,74.056,106.67061504914476
215,5,France,1991,1.9857550254561909,22270.0878561169,300.7493270838405,496.0299855257595,74.229,106.94066468699664
216,5,France,1992,2.018038916137059,22553.1968600542,294.8382724309036,497.4772970349134,74.401,107.47418941278312
217,5,France,1993,2.0285906761336716,22307.6708835128,284.03653270168536,502.0825161759451,74.572,107.9414591117783
218,5,France,1994,2.036045266179586,22813.7881924707,272.9841301910621,510.2880102415652,74.743,108.3445520722616
219,5,France,1995,2.0444834795472966,23255.9349114447,257.99154464245476,512.8688443200541,74.912,108.7370490497949
220,5,France,1996,2.033236700616983,23511.8961083012,245.59839148534226,518.8651951761319,75.082,109.12295504103615
221,5,France,1997,2.0677478168825614,24809.6843017662,238.2104187140133,529.009796818186,75.25,109.5097065924473
222,5,France,1998,2.1339141009103604,26410.0327914719,235.6726435203033,541.0788602870765,75.417,109.9140158446653
223,5,France,1999,2.129085037276345,27423.4276144538,233.45549675041786,551.7733201761296,75.614,110.48069091214575
